iteration,continuity,x_velocity,y_velocity,z_velocity,k,omega
1,1.0000e+00,6.8070e-02,6.1975e-02,6.5221e-02,7.2362e-01,3.7834e-01
2,7.0357e-01,5.6816e-02,3.6150e-02,3.7360e-02,6.0860e-01,3.5588e-01
3,5.3615e-01,4.5286e-02,2.1993e-02,2.2606e-02,3.6022e-01,3.1421e-01
4,4.6862e-01,3.8515e-02,1.5739e-02,1.6128e-02,1.2696e-01,2.5060e-01
5,4.1517e-01,3.1829e-02,1.2349e-02,1.2643e-02,5.9173e-02,1.7151e-01
6,3.6908e-01,2.5986e-02,9.8404e-03,1.0232e-02,4.7730e-02,1.0297e-01
7,3.5185e-01,2.2448e-02,8.2311e-03,8.4360e-03,4.0930e-02,5.7695e-02
8,3.3791e-01,1.9823e-02,6.9176e-03,7.2433e-03,3.7528e-02,3.3523e-02
9,3.2455e-01,1.7516e-02,6.1787e-03,6.2837e-03,3.5437e-02,2.1466e-02
10,3.0739e-01,1.5626e-02,5.5189e-03,5.6570e-03,3.3903e-02,1.5464e-02
11,3.0231e-01,1.4083e-02,5.0139e-03,5.1856e-03,3.2567e-02,1.1981e-02
12,2.9448e-01,1.2855e-02,4.6250e-03,4.6902e-03,3.2313e-02,1.0849e-02
13,3.0435e-01,1.1840e-02,4.2891e-03,4.4568e-03,3.4673e-02,1.0496e-02
14,3.1339e-01,1.0974e-02,4.0400e-03,4.1534e-03,3.4936e-02,1.0065e-02
15,3.1601e-01,1.0197e-02,3.8030e-03,3.8548e-03,3.6826e-02,1.0592e-02
16,3.2852e-01,9.6025e-03,3.6552e-03,3.8285e-03,3.7721e-02,1.0678e-02
17,3.3412e-01,8.9993e-03,3.4685e-03,3.5426e-03,4.1126e-02,1.1962e-02
18,3.7276e-01,8.6387e-03,3.5196e-03,3.4630e-03,4.3238e-02,1.2929e-02
19,4.0506e-01,8.2341e-03,3.4151e-03,3.5303e-03,4.6776e-02,1.4006e-02
20,4.3419e-01,7.8577e-03,3.4069e-03,3.5299e-03,5.5791e-02,1.6542e-02
